"id","category_id","category","name","manufacturer","url","min_price","max_price","average_rating","review_count","review_tags","review_rating_distribution","review_platform_distribution","price_trend","specifications","conformity_certification","safety_certification","product_code","updated_at","unit_price"
11,4,홈 > 식품/유아/완구 > 유아의류/신발/도서 > 그림/동화/놀이책 > 그림/동화책,세이펜 NEW 아기별 그림책 / 입체그림책 호환책,세이펜,https://prod.danawa.com/info/?pcode=46823069&cate=16353679,73650,223700,5.00,8,{},"{""1"": 0, ""2"": 0, ""3"": 0, ""4"": 0, ""5"": 8}","{""G마켓"": 2, ""11번가"": 2, ""롯데ON"": 3, ""신세계몰"": 1}","[{""date"": ""25.11.04"", ""price"": 73650, ""period"": ""1개월""}, {""date"": ""09.09"", ""price"": 73650, ""period"": ""3개월""}, {""date"": ""25.06"", ""price"": 73650, ""period"": ""6개월""}, {""date"": ""25.01"", ""price"": 73650, ""period"": ""12개월""}, {""date"": ""24.11"", ""price"": 73650, ""period"": ""24개월""}]","{""품목"": {""그림/동화책"": true, ""그림/동화/놀이책"": true, ""유아동의류/잡화/도서"": true}, ""KC인증"": {""안전확인인증"": ""상세설명 / 판매 사이트 문의인증번호 확인"", ""적합성평가인증"": ""상세설명 / 판매 사이트 문의인증번호 확인""}, ""manufacturer"": ""세이펜"", ""등록년월"": ""2021년 03월"", ""제조회사"": ""세이펜""}",,,"46823069",2025-11-26 17:59:42.500,
12,4,홈 > 식품/유아/완구 > 유아의류/신발/도서 > 그림/동화/놀이책 > 낱말카드/기타,지학사 중학독서평설 1년 정기구독,지학사,https://prod.danawa.com/info/?pcode=27791744&cate=16353682,139230,153000,4.60,43,"{아이,저렴,만족,가격,아들,스티커,재미,포장}","{""1"": 1, ""2"": 0, ""3"": 1, ""4"": 9, ""5"": 32}","{""옥션"": 1, ""G마켓"": 29, ""11번가"": 7, ""신세계몰"": 3, ""롯데홈쇼핑"": 3}","[{""date"": ""25.11.04"", ""price"": 130500, ""period"": ""1개월""}, {""date"": ""11.04"", ""price"": 130500, ""period"": ""3개월""}, {""date"": ""25.07"", ""price"": 124221, ""period"": ""6개월""}, {""date"": ""25.03"", ""price"": 121890, ""period"": ""12개월""}, {""date"": ""25.03"", ""price"": 121890, ""period"": ""24개월""}]","{""KC인증"": {""안전확인인증"": ""상세설명 / 판매 사이트 문의인증번호 확인"", ""적합성평가인증"": ""상세설명 / 판매 사이트 문의인증번호 확인""}, ""manufacturer"": ""지학사"", ""등록년월"": ""2023년 03월"", ""제조회사"": ""지학사""}",,,"27791744",2025-11-26 18:01:35.428,
13,4,홈 > 식품/유아/완구 > 유아의류/신발/도서 > 그림/동화/놀이책 > 낱말카드/기타,애플비 애플비 도전 진짜 편의점 접기 144P 종이접기 간식,애플비,https://prod.danawa.com/info/?pcode=25658882&cate=16353682,7380,7380,5.00,1,{},"{""1"": 0, ""2"": 0, ""3"": 0, ""4"": 0, ""5"": 1}","{""G마켓"": 1}","[{""date"": ""25.11.04"", ""price"": 6880, ""period"": ""1개월""}, {""date"": ""11.04"", ""price"": 6880, ""period"": ""3개월""}, {""date"": ""25.11"", ""price"": 6880, ""period"": ""6개월""}, {""date"": ""25.11"", ""price"": 6880, ""period"": ""12개월""}, {""date"": ""24.04"", ""price"": 6620, ""period"": ""24개월""}]","{""품목"": {""낱말카드/기타"": true, ""그림/동화/놀이책"": true, ""유아동의류/잡화/도서"": true}, ""KC인증"": {""안전확인인증"": ""상세설명 / 판매 사이트 문의인증번호 확인"", ""적합성평가인증"": ""상세설명 / 판매 사이트 문의인증번호 확인""}, ""manufacturer"": ""애플비"", ""등록년월"": ""2021년 09월"", ""제조회사"": ""애플비""}",,,"25658882",2025-11-26 18:03:08.651,
14,4,홈 > 식품/유아/완구 > 유아의류/신발/도서 > 그림/동화/놀이책 > 낱말카드/기타,어스본 슈웅슈웅 태엽 비행기,어스본,https://prod.danawa.com/info/?pcode=20871239&cate=16353682,28000,33000,4.60,13,"{아이,아기,그림,선물,아들,구성,놀이,다양,공부,관심,종이,조카,종이접기,흥미,아가,스티커}","{""1"": 0, ""2"": 0, ""3"": 2, ""4"": 1, ""5"": 10}","{""옥션"": 12, ""G마켓"": 1}","[{""date"": ""25.11.04"", ""price"": 26770, ""period"": ""1개월""}, {""date"": ""09.09"", ""price"": 25200, ""period"": ""3개월""}, {""date"": ""25.06"", ""price"": 25200, ""period"": ""6개월""}, {""date"": ""24.12"", ""price"": 25200, ""period"": ""12개월""}, {""date"": ""24.05"", ""price"": 22950, ""period"": ""24개월""}]","{""대상"": {""유아용"": true}, ""품목"": {""놀이책"": true}, ""KC인증"": {""안전확인인증"": ""상세설명 / 판매 사이트 문의인증번호 확인"", ""적합성평가인증"": ""상세설명 / 판매 사이트 문의인증번호 확인""}, ""manufacturer"": ""어스본"", ""등록년월"": ""2017년 07월"", ""제조회사"": ""어스본""}",,,"20871239",2025-11-26 18:04:46.811,
15,4,홈 > 식품/유아/완구 > 유아의류/신발/도서 > 그림/동화/놀이책 > 낱말카드/기타,한빛에듀 1000개 숨은그림찾기 : 보물찾기,한빛에듀,https://prod.danawa.com/info/?pcode=20874866&cate=16353682,6930,7200,5.00,4,{},"{""1"": 0, ""2"": 0, ""3"": 0, ""4"": 0, ""5"": 4}","{""옥션"": 3, ""롯데홈쇼핑"": 1}","[{""date"": ""25.11.04"", ""price"": 6120, ""period"": ""1개월""}, {""date"": ""11.04"", ""price"": 6120, ""period"": ""3개월""}, {""date"": ""25.11"", ""price"": 6120, ""period"": ""6개월""}, {""date"": ""25.11"", ""price"": 6120, ""period"": ""12개월""}, {""date"": ""25.11"", ""price"": 6120, ""period"": ""24개월""}]","{""품목"": {""유아동의류/잡화/도서"": true}, ""KC인증"": {""안전확인인증"": ""상세설명 / 판매 사이트 문의인증번호 확인"", ""적합성평가인증"": ""상세설명 / 판매 사이트 문의인증번호 확인""}, ""manufacturer"": ""한빛에듀"", ""등록년월"": ""2021년 11월"", ""제조회사"": ""한빛에듀""}",,,"20874866",2025-11-26 18:06:18.996,
16,4,홈 > 식품/유아/완구 > 유아의류/신발/도서 > 그림/동화/놀이책 > 낱말카드/기타,아카데미 아카데미 베이비버스 노래하는 한글패드,아카데미,https://prod.danawa.com/info/?pcode=25658552&cate=16353682,58170,79640,,,{},"{""1"": 0, ""2"": 0, ""3"": 0, ""4"": 0, ""5"": 0}","{}","[{""date"": ""25.11.04"", ""price"": 55050, ""period"": ""1개월""}, {""date"": ""11.04"", ""price"": 55050, ""period"": ""3개월""}, {""date"": ""25.06"", ""price"": 48690, ""period"": ""6개월""}, {""date"": ""25.04"", ""price"": 38160, ""period"": ""12개월""}, {""date"": ""24.10"", ""price"": 36880, ""period"": ""24개월""}]","{""품목"": {""낱말카드/기타"": true, ""그림/동화/놀이책"": true, ""유아동의류/잡화/도서"": true}, ""KC인증"": {""안전확인인증"": ""상세설명 / 판매 사이트 문의인증번호 확인"", ""적합성평가인증"": ""상세설명 / 판매 사이트 문의인증번호 확인""}, ""manufacturer"": ""아카데미"", ""등록년월"": ""2020년 09월"", ""제조회사"": ""아카데미""}",,,"25658552",2025-11-26 18:08:57.320,
17,4,홈 > 식품/유아/완구 > 유아의류/신발/도서 > 그림/동화/놀이책 > 낱말카드/기타,아카데미과학 아카데미과학 베이비버스 노래하는 한글패드,아카데미과학,https://prod.danawa.com/info/?pcode=25657235&cate=16353682,35140,38200,,,{},"{""1"": 0, ""2"": 0, ""3"": 0, ""4"": 0, ""5"": 0}","{}","[{""date"": ""25.11.04"", ""price"": 32470, ""period"": ""1개월""}, {""date"": ""11.04"", ""price"": 32470, ""period"": ""3개월""}, {""date"": ""25.07"", ""price"": 31860, ""period"": ""6개월""}, {""date"": ""25.07"", ""price"": 31860, ""period"": ""12개월""}, {""date"": ""24.01"", ""price"": 30830, ""period"": ""24개월""}]","{""품목"": {""낱말카드/기타"": true, ""그림/동화/놀이책"": true, ""유아동의류/잡화/도서"": true}, ""KC인증"": {""안전확인인증"": ""상세설명 / 판매 사이트 문의인증번호 확인"", ""적합성평가인증"": ""상세설명 / 판매 사이트 문의인증번호 확인""}, ""manufacturer"": ""아카데미과학"", ""등록년월"": ""2020년 11월"", ""제조회사"": ""아카데미과학""}",,,"25657235",2025-11-26 18:11:35.279,
18,4,홈 > 식품/유아/완구 > 유아의류/신발/도서 > 그림/동화/놀이책 > 낱말카드/기타,어스본 창의력 쑥쑥 무지개 손도장놀이,어스본,https://prod.danawa.com/info/?pcode=20867297&cate=16353682,10400,11700,4.70,181,"{아이,아기,저렴,만족,가격,그림,선물,카드,아들,시간,구성,놀이,다양,공부,내용,관심}","{""1"": 1, ""2"": 2, ""3"": 7, ""4"": 21, ""5"": 150}","{""GS샵"": 10, ""옥션"": 10, ""G마켓"": 64, ""11번가"": 16}","[{""date"": ""25.11.04"", ""price"": 6500, ""period"": ""1개월""}, {""date"": ""10.21"", ""price"": 6500, ""period"": ""3개월""}, {""date"": ""25.10"", ""price"": 6500, ""period"": ""6개월""}, {""date"": ""25.03"", ""price"": 5460, ""period"": ""12개월""}, {""date"": ""25.03"", ""price"": 5460, ""period"": ""24개월""}]","{""구성"": {""구성"": ""본책1권,색깔스탬프""}, ""대상"": {""유아용"": true}, ""품목"": {""놀이책"": true}, ""KC인증"": {""안전확인인증"": ""상세설명 / 판매 사이트 문의인증번호 확인"", ""적합성평가인증"": ""상세설명 / 판매 사이트 문의인증번호 확인""}, ""manufacturer"": ""어스본"", ""대상연령"": {""대상연령"": ""4~7세""}, ""등록년월"": ""2016년 01월"", ""제조회사"": ""어스본""}",,,"20867297",2025-11-26 18:13:57.572,
19,4,홈 > 식품/유아/완구 > 유아의류/신발/도서 > 그림/동화/놀이책 > 낱말카드/기타,그린키즈 키즈링 낱말카드 시리즈선택,그린키즈,https://prod.danawa.com/info/?pcode=20867774&cate=16353682,4300,4300,4.70,45,"{아이,아기,저렴,만족,가격,그림,선물,카드,아들,시간,구성,놀이,다양,공부,관심,종이}","{""1"": 0, ""2"": 0, ""3"": 1, ""4"": 9, ""5"": 35}","{""11번가"": 41, ""CJ온스타일"": 4}","[{""date"": ""25.11.04"", ""price"": 4300, ""period"": ""1개월""}, {""date"": ""09.09"", ""price"": 4300, ""period"": ""3개월""}, {""date"": ""25.07"", ""price"": 4000, ""period"": ""6개월""}, {""date"": ""25.02"", ""price"": 3960, ""period"": ""12개월""}, {""date"": ""24.11"", ""price"": 3960, ""period"": ""24개월""}]","{""대상"": {""유아용"": true}, ""품목"": {""낱말카드"": true}, ""KC인증"": {""안전확인인증"": ""상세설명 / 판매 사이트 문의인증번호 확인"", ""적합성평가인증"": ""상세설명 / 판매 사이트 문의인증번호 확인""}, ""manufacturer"": ""그린키즈"", ""등록년월"": ""2017년 03월"", ""제조회사"": ""그린키즈""}",,,"20867774",2025-11-26 18:15:50.124,
20,4,홈 > 식품/유아/완구 > 유아의류/신발/도서 > 그림/동화/놀이책 > 낱말카드/기타,토이트론 토이트론 리틀퓨처북 뽀로로펜 3.0_,토이트론,https://prod.danawa.com/info/?pcode=25654388&cate=16353682,73400,73420,4.80,10,{},"{""1"": 0, ""2"": 0, ""3"": 1, ""4"": 0, ""5"": 9}","{""옥션"": 4, ""G마켓"": 2, ""인터파크"": 1, ""롯데홈쇼핑"": 3}","[{""date"": ""25.11.04"", ""price"": 67830, ""period"": ""1개월""}, {""date"": ""11.04"", ""price"": 67830, ""period"": ""3개월""}, {""date"": ""25.11"", ""price"": 67830, ""period"": ""6개월""}, {""date"": ""25.11"", ""price"": 67830, ""period"": ""12개월""}, {""date"": ""24.04"", ""price"": 55900, ""period"": ""24개월""}]","{""품목"": {""낱말카드/기타"": true, ""그림/동화/놀이책"": true, ""유아동의류/잡화/도서"": true}, ""KC인증"": {""안전확인인증"": ""상세설명 / 판매 사이트 문의인증번호 확인"", ""적합성평가인증"": ""상세설명 / 판매 사이트 문의인증번호 확인""}, ""manufacturer"": ""토이트론"", ""등록년월"": ""2021년 04월"", ""제조회사"": ""토이트론""}",,,"25654388",2025-11-26 18:17:24.495,
21,4,홈 > 식품/유아/완구 > 유아의류/신발/도서 > 그림/동화/놀이책 > 낱말카드/기타,학산문화사 포켓몬 가라르도감,학산문화사,https://prod.danawa.com/info/?pcode=20857889&cate=16353682,12600,13500,4.90,25,"{아이,저렴,만족,가격,선물,카드,아들,시간,다양,공부,관심,종이,한글,조카,종이접기,심심}","{""1"": 0, ""2"": 0, ""3"": 0, ""4"": 1, ""5"": 24}","{""옥션"": 9, ""G마켓"": 16}","[{""date"": ""25.11.04"", ""price"": 12600, ""period"": ""1개월""}, {""date"": ""10.28"", ""price"": 12184, ""period"": ""3개월""}, {""date"": ""25.07"", ""price"": 11928, ""period"": ""6개월""}, {""date"": ""25.02"", ""price"": 11928, ""period"": ""12개월""}, {""date"": ""24.05"", ""price"": 9490, ""period"": ""24개월""}]","{""품목"": {""놀이책"": true}, ""KC인증"": {""안전확인인증"": ""상세설명 / 판매 사이트 문의인증번호 확인"", ""적합성평가인증"": ""상세설명 / 판매 사이트 문의인증번호 확인""}, ""manufacturer"": ""학산문화사"", ""등록년월"": ""2022년 10월"", ""제조회사"": ""학산문화사""}",,,"20857889",2025-11-26 18:19:08.274,
39,4,홈 > 식품/유아/완구 > 유아의류/신발/도서 > 그림/동화/놀이책 > 학습벽보/차트,카르카시 기타교본,,https://prod.danawa.com/info/?pcode=25666082&cate=16353681,10800,10800,5.00,1,{},"{""1"": 0, ""2"": 0, ""3"": 0, ""4"": 0, ""5"": 1}","{""GS샵"": 1}","[{""date"": ""25.11.04"", ""price"": 10800, ""period"": ""1개월""}, {""date"": ""09.09"", ""price"": 10800, ""period"": ""3개월""}, {""date"": ""25.06"", ""price"": 10800, ""period"": ""6개월""}, {""date"": ""24.12"", ""price"": 10800, ""period"": ""12개월""}, {""date"": ""24.01"", ""price"": 10800, ""period"": ""24개월""}]","{""품목"": {""학습벽보/차트"": true, ""그림/동화/놀이책"": true, ""유아동의류/잡화/도서"": true}, ""KC인증"": {""안전확인인증"": ""상세설명 / 판매 사이트 문의인증번호 확인"", ""적합성평가인증"": ""상세설명 / 판매 사이트 문의인증번호 확인""}, ""등록년월"": ""2018년 03월""}",,,"25666082",2025-11-26 18:57:15.528,
